eduardo-rodrigues	eduardo-rodrigues-web-radio-2009-v02.jpg	Apresentador
eduardo-rodrigues	eduardo-rodrigues-web-radio-2009-v04.jpg	Mestre de Cerimônias
eduardo-rodrigues	eduardo-rodrigues-web-radio-2009-v05.jpg	Em trabalho na HBO
eduardo-rodrigues	eduardo-rodrigues-web-radio-2009-v03.jpg	Apresentador
eduardo-rodrigues	IMG-20210614-WA0133.jpg	Eduvoice Estúdio
formaturas	eduardo-rodrigues-formaturas-2011-policamp-v03-3.jpg	Cobrindo reportagem em TV Corporativa
formaturas	eduardo-rodrigues-formaturas-2011-policamp-v04-3.jpg	Em colação de grau, sendo parabenizado.
formaturas	eduardo-rodrigues-formaturas-2013-max-planck-v02-3.jpg	Conduzindo formatura de 500 alunos da Unimax
formaturas	eduardo-rodrigues-formaturas-2013-faj-3.jpg	No púlpito mais um evento
formaturas	eduardo-rodrigues-formaturas-2014-faj-pronatec-4.jpg	MC atuando
formaturas	eduardo-rodrigues-formaturas-2014-max-planck-v03-3.jpg	Apresentação evento empresarial
formaturas	eduardo-rodrigues-formaturas-2016-4.jpg	Passando roteiro com a produção
festas	eduardo-rodrigues-festa-fantasia-debutante-2008.jpg	Apresentando Festa de Debutante em Buffet -São Paulo
festas	eduardo-rodrigues-festa-2007-v02.jpg	Mestre de Cerimônias-Baile de Formaturas -Clube Mendes Santos
festas	eduardo-rodrigues-festa-2007-v01.jpg	Mestre de Cerimônias-Baile de Formaturas -Clube Mendes Santos
corporativo	eduardo-rodrigues-eventos-corporativo-2012-adh.jpg	Conduzindo Congresso Nacional de Saúde-São Camilo-ExpoCenter Norte
corporativo	eduardo-rodrigues-eventos-corporativo-2016-xxvii-enangrad.jpg	Congresso de Educação – Enangrad – Campinas
corporativo	eduardo-rodrigues-eventos-corporativo-2016.jpg	Apresentando Congresso da Angrad – São Paulo
corporativo	eduardo-rodrigues-eventos-corporativo-2016-ix-senangrad.jpg	Seminário Educacional-Sede Mackenzie-SP
corporativo	eduardo-rodrigues-eventos-corporativo-xv-congresso-ibgc.jpg	15o.Congresso IBCG-Anhembi-SP
estudio	eduardo-rodrigues-estudio-2007-v03.jpg	Locução Comercial/Estúdio Gravação
estudio	eduardo-rodrigues-estudio-2007-v01.jpg	Locução Comercial/Estúdio Gravação
estudio	IMG-20210614-WA0126.jpg	Gravando-Eduvoice Produtora
estudio	eduardo-rodrigues-web-radio-2009-v07.jpg	Gravação no Estudio da HBO-Brasil
estudio	eduardo-rodrigues-web-radio-2009-v06.jpg	Locução Comercial em Estúdio
